TEAM,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
MIN,W,265,112,42,89,47.2,9,23,39.1,19,25,76,8,32,40,24,10,2,8,19
LAL,W,240,115,42,88,47.7,17,39,43.6,14,16,87.5,10,39,49,25,8,6,17,23
NYK,W,239,110,43,85,50.6,12,27,44.4,12,13,92.3,8,31,39,30,10,3,15,22
DET,W,240,119,47,89,52.8,15,35,42.9,10,10,100,7,40,47,27,12,4,11,21
BOS,W,240,110,46,102,45.1,6,24,25,12,15,80,20,42,62,22,6,6,13,14
NOP,W,239,122,52,88,59.1,5,19,26.3,13,19,68.4,11,40,51,30,11,5,19,20
OKC,W,241,137,47,85,55.3,20,43,46.5,23,32,71.9,8,37,45,32,8,3,14,23
PHI,W,240,130,52,105,49.5,15,36,41.7,11,15,73.3,17,40,57,35,15,7,12,17
SAC,W,240,96,38,80,47.5,7,26,26.9,13,20,65,6,42,48,22,6,3,11,14
MIA,W,265,116,46,106,43.4,11,26,42.3,13,20,65,19,37,56,26,8,7,9,18
POR,W,240,102,41,89,46.1,9,24,37.5,11,16,68.8,7,39,46,19,9,9,10,22
ORL,W,239,101,33,77,42.9,13,32,40.6,22,27,81.5,6,36,42,20,6,7,16,27
UTA,W,240,119,48,90,53.3,13,35,37.1,10,13,76.9,12,42,54,25,10,6,15,20
CHA,W,240,119,46,99,46.5,18,42,42.9,9,12,75,13,42,55,27,5,7,6,8
PHI,W,238,121,43,87,49.4,17,37,45.9,18,30,60,11,43,54,29,7,8,18,22
PHX,W,240,124,48,76,63.2,13,26,50,15,21,71.4,5,41,46,35,5,6,14,16
WAS,W,240,113,41,83,49.4,15,30,50,16,20,80,10,41,51,32,8,3,20,24
HOU,W,239,105,37,88,42,16,47,34,15,16,93.8,8,41,49,19,9,5,18,19
TOR,W,239,108,46,87,52.9,12,39,30.8,4,4,100,8,40,48,27,3,5,9,17
CLE,W,240,123,40,85,47.1,19,45,42.2,24,28,85.7,7,35,42,29,9,2,10,15
SAS,W,241,98,34,82,41.5,6,27,22.2,24,29,82.8,11,34,45,18,6,6,8,14
DEN,W,239,88,31,83,37.3,6,26,23.1,20,26,76.9,10,42,52,22,7,5,12,18
NOP,W,241,113,44,95,46.3,11,30,36.7,14,20,70,9,41,50,34,13,10,7,18
OKC,W,241,115,35,81,43.2,14,35,40,31,38,81.6,7,36,43,21,9,4,9,15
BKN,W,241,114,41,82,50,18,42,42.9,14,15,93.3,6,32,38,32,8,10,17,15
MIL,W,240,102,39,91,42.9,9,26,34.6,15,18,83.3,12,44,56,26,13,2,16,18
MIN,W,240,113,42,87,48.3,7,22,31.8,22,26,84.6,18,34,52,27,10,7,17,18
PHI,W,239,109,46,91,50.5,8,27,29.6,9,14,64.3,9,43,52,32,9,4,10,19
GSW,W,241,117,47,90,52.2,13,32,40.6,10,15,66.7,5,36,41,27,9,7,11,15
ATL,W,239,112,43,86,50,15,35,42.9,11,14,78.6,5,32,37,23,7,4,13,19
IND,W,240,123,50,93,53.8,9,25,36,14,18,77.8,7,32,39,27,11,1,14,22
MEM,W,240,130,48,83,57.8,16,33,48.5,18,24,75,8,35,43,36,11,4,12,18
UTA,W,239,112,42,83,50.6,13,36,36.1,15,22,68.2,7,38,45,35,8,4,18,24
TOR,W,239,112,39,78,50,17,40,42.5,17,24,70.8,6,41,47,28,8,5,17,21
DEN,W,241,134,53,85,62.4,12,29,41.4,16,23,69.6,7,26,33,36,4,6,7,26
BKN,W,239,124,46,92,50,24,55,43.6,8,11,72.7,5,41,46,36,11,10,13,18
NOP,W,240,126,49,87,56.3,11,27,40.7,17,22,77.3,4,30,34,39,15,6,8,16
SAS,W,240,116,47,84,56,7,21,33.3,15,21,71.4,4,32,36,21,12,3,7,12
OKC,W,241,108,36,91,39.6,10,33,30.3,26,33,78.8,15,27,42,21,11,5,12,20
MIL,W,240,115,45,93,48.4,10,25,40,15,17,88.2,12,36,48,30,6,10,10,13
ATL,W,239,103,38,79,48.1,11,33,33.3,16,23,69.6,7,43,50,24,5,5,18,22
NOP,W,241,122,45,99,45.5,16,38,42.1,16,20,80,13,42,55,29,9,7,15,22
